epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.266,1.4809,2.80516,2.03999,1.01911,0.44611,0.18254,0.16334,0.09204,0.44583,0.15478,0.14086,0.0688,1.45516,2.84659,1.24073,1.0212,0.00023672,0.00023672,0.00023672
2,522.693,1.37666,2.67079,1.19537,1.00525,0.38448,0.21819,0.18865,0.10603,0.36598,0.1922,0.16236,0.07994,1.42208,2.78809,1.14367,1.02058,0.000470021,0.000470021,0.000470021
3,780.706,1.367,2.63866,1.13505,1.00388,0.46089,0.20417,0.19964,0.11359,0.43278,0.18652,0.17205,0.08826,1.41108,2.79544,1.11856,1.03584,0.000698609,0.000698609,0.000698609
4,1040.21,1.34144,2.57015,1.06432,0.99907,0.42136,0.23181,0.21409,0.12073,0.40957,0.20498,0.18429,0.0939,1.41044,2.74453,1.05754,1.01587,0.000692794,0.000692794,0.000692794
5,1299.31,1.32523,2.5527,1.02015,0.99607,0.44687,0.22245,0.21938,0.12513,0.42565,0.20134,0.19154,0.09559,1.37561,2.74863,1.03671,1.01244,0.000685726,0.000685726,0.000685726
6,1558.45,1.31395,2.5332,0.99043,0.99284,0.47836,0.22278,0.23495,0.13292,0.44955,0.19977,0.19937,0.10239,1.38913,2.70409,0.99748,1.01261,0.000678657,0.000678657,0.000678657
7,1815.94,1.30168,2.49701,0.9605,0.98965,0.45332,0.25204,0.23672,0.13162,0.46005,0.21808,0.20732,0.10227,1.35318,2.67378,0.98625,1.01013,0.000671588,0.000671588,0.000671588
8,2075.77,1.28855,2.48204,0.94332,0.98863,0.46201,0.24231,0.24209,0.13614,0.43072,0.21765,0.20811,0.10605,1.35322,2.69724,0.97657,1.00925,0.00066452,0.00066452,0.00066452
9,2337.25,1.28421,2.46361,0.92523,0.98311,0.35159,0.23977,0.24825,0.14119,0.32758,0.22103,0.21874,0.10841,1.35153,2.65403,0.94902,1.00802,0.000657451,0.000657451,0.000657451
10,2595.89,1.26529,2.41815,0.89576,0.97918,0.47353,0.26468,0.2507,0.13972,0.44686,0.2365,0.21842,0.10656,1.32015,2.63231,0.95179,1.00197,0.000650383,0.000650383,0.000650383
